round	position	tag	ms	tflops	timestamp_ns
13	3	after4_aa	0.468126297	2348.749973719165	1789021054241632432
13	4	after4	0.464456856	2367.306270910123	1789021054951239148
14	1	after4	0.465815723	2360.400419064429	1789021055658211697
14	2	b_contig_ioffset	0.457596004	2402.7998893451877	1789021056350308954
14	3	b_contig_common	0.459125549	2394.795127761448	1789021057043005981
14	4	after4_aa	0.463378072	2372.817563486258	1789021057744249866
15	1	after4_aa	0.462793112	2375.8167510842295	1789021058438153876
15	2	after4	0.46498844	2364.5999194646647	1789021059139100635
15	3	b_contig_ioffset	0.454684407	2418.186352662848	1789021059855726603
15	4	b_contig_common	0.458166718	2399.8068488597637	1789021060571415234
16	1	b_contig_common	0.45878312	2396.5825677631733	1789021061275350481
16	2	after4_aa	0.470422626	2337.284745687381	1789021061970079831
16	3	after4	0.466418415	2357.350379864397	1789021062672296878
16	4	b_contig_ioffset	0.460546225	2387.407752123036	1789021063353031528
17	1	after4	0.466054559	2359.190799753554	1789021064062351903
17	2	after4_aa	0.466698349	2355.936399029344	1789021064750469362
17	3	b_contig_common	0.462044805	2379.664517115391	1789021065477293188
17	4	b_contig_ioffset	0.460153133	2389.4472272907465	1789021066192156449
18	1	after4_aa	0.468230098	2348.2292840047203	1789021066887791469
18	2	b_contig_common	0.45862487	2397.4095163570173	1789021067618126088
18	3	b_contig_ioffset	0.455570817	2413.481256364145	1789021068352421476
18	4	after4	0.465614319	2361.421423072687	1789021069081180458
19	1	b_contig_common	0.460092157	2389.763900661319	1789021069789986431
19	2	b_contig_ioffset	0.458594412	2397.568742673646	1789021070483262739
19	3	after4	0.468023896	2349.2638670227216	1789021071185963782
19	4	after4_aa	0.468123943	2348.761784602844	1789021071900112240
20	1	b_contig_ioffset	0.459714323	2391.7280205689826	1789021072607273783
20	2	after4	0.468947172	2344.638572158827	1789021073323694693
20	3	after4_aa	0.468034476	2349.2107615080904	1789021074008931215
20	4	b_contig_common	0.461331338	2383.344761582184	1789021074709536280
21	1	b_contig_ioffset	0.460079998	2389.827057371879	1789021075410426274
21	2	b_contig_common	0.454316378	2420.1452578405615	1789021076110287452
21	3	after4_aa	0.469368517	2342.5338256677323	1789021076834222268
21	4	after4	0.465519637	2361.901712378247	1789021077538383905
22	1	after4	0.463820547	2370.5539456750284	1789021078247235627
22	2	b_contig_ioffset	0.454608232	2418.5915484610055	1789021078954981798
22	3	b_contig_common	0.460686833	2386.679082221566	1789021079652960419
22	4	after4_aa	0.463275224	2373.344333596394	1789021080382256868
23	1	after4_aa	0.463198006	2373.7399849169474	1789021081083426832
23	2	after4	0.462840885	2375.5715266511083	1789021081817820968
23	3	b_contig_ioffset	0.46054852	2387.39585522064	1789021082526601753
23	4	b_contig_common	0.459463984	2393.031153832506	1789021083230722519
24	1	b_contig_common	0.453336298	2425.377435309625	1789021083937847738
24	2	after4_aa	0.466734767	2355.7525719441423	1789021084643605552
24	3	after4	0.466931313	2354.760961974722	1789021085335724982
24	4	b_contig_ioffset	0.454402238	2419.6879676811805	1789021086036354144
